Título,estructura-generacion_2017_2021,,,,
Sistema eléctrico,NACIONAL,,,,
Magnitudes,%,,,,
 ,,,,,
 ,2017,2018,2019,2020,2021
Hidráulica,"7,034","13,073","9,477","12,185","11,394"
Turbinación bombeo,"0,857","0,764","0,631","1,094","1,019"
Nuclear,"21,174","20,384","21,403","22,179","20,784"
Carbón,"17,163","14,283","4,858","1,997","1,917"
Fuel + Gas,-,-,-,-,-
Motores diésel,"1,318","1,218","1,087","0,954","0,968"
Turbina de gas,"0,332","0,402","0,257","0,162","0,163"
Turbina de vapor,"1,02","0,941","0,839","0,552","0,426"
Ciclo combinado,"14,131","11,512","21,179","17,511","17,115"
Hidroeólica,"0,008","0,009","0,009","0,008","0,009"
Eólica,"18,264","18,998","20,797","21,84","23,278"
Solar fotovoltaica,"3,202","2,976","3,547","6,087","8,069"
Solar térmica,"2,039","1,695","1,981","1,805","1,81"
Otras renovables,"1,376","1,363","1,387","1,783","1,815"
Cogeneración,"10,755","11,114","11,354","10,752","10,034"
Residuos no renovables,"0,994","0,933","0,852","0,802","0,861"
Residuos renovables,"0,334","0,335","0,341","0,289","0,338"
Generación total,100,100,100,100,100
 ,,,,,
Notas,,,,,
 ,,,,,
 ,,,,,
Estados,,,,,
 ,Definitivo: 01/01/2017 - 31/12/2021,,,,
 ,,,,,
Fecha exportación,01/12/2022 - 23:32:29,,,,
 ,,,,,
Fuente,www.ree.es,,,,
