Type,2017,2018,2019,2020,2021
Hydro,18450.62,34117.24,24719.02,30631.72,29626.01
Pumped storage,2248.96,1994.0,1645.51,2751.44,2649.32
Nuclear,55539.35,53197.62,55824.23,55758.36,54041.02
Coal,45019.42,37276.81,12670.64,5020.71,4983.15
Diesel engines,3456.02,3178.18,2836.05,2399.49,2517.42
Gas turbine,871.16,1049.28,670.53,406.58,423.58
Steam turbine,2674.39,2455.43,2189.01,1387.61,1108.06
Combined cycle,37065.79,30044.47,55241.97,44022.86,44500.1
Hydroeolian,20.23,23.66,23.25,19.54,23.1
Wind,47906.96,49581.49,54245.06,54906.25,60525.66
Solar photovoltaic,8397.75,7766.18,9252.02,15302.14,20981.04
Thermal solar,5347.95,4424.33,5166.43,4538.31,4705.52
Other renewables,3610.35,3557.44,3617.71,4481.58,4719.87
Cogeneration,28211.81,29006.76,29615.09,27030.31,26090.49
Non-renewable waste,2607.98,2434.96,2222.46,2016.18,2238.74
Renewable waste,877.01,874.08,889.81,725.65,877.94
Total generation,262305.76,260981.9,260828.78,251398.74,260011.03
